Date,Open,High,Low,Close,Adj Close,Volume
2019-04-05,0.545300,0.545300,0.545000,0.545000,0.527409,219700
2019-04-08,0.545000,0.545000,0.545000,0.545000,0.527409,700
2019-04-09,0.545000,0.545000,0.545000,0.545000,0.527409,6500
2019-04-10,0.545000,0.545000,0.545000,0.545000,0.527409,100
2019-04-11,0.545000,0.545000,0.545000,0.545000,0.527409,200
2019-04-12,0.545000,0.545000,0.545000,0.545000,0.527409,3800
2019-04-15,0.528000,0.528000,0.528000,0.528000,0.510958,13300
2019-04-16,0.528000,0.528000,0.528000,0.528000,0.510958,300
2019-04-17,0.555000,0.556400,0.555000,0.556400,0.538441,5000
2019-04-18,0.556400,0.556400,0.556400,0.556400,0.538441,5600
2019-04-22,0.556400,0.556400,0.556400,0.556400,0.538441,0
2019-04-23,0.550800,0.550800,0.550800,0.550800,0.533022,22700
2019-04-24,0.550800,0.550800,0.550800,0.550800,0.533022,100
2019-04-25,0.550800,0.550800,0.550800,0.550800,0.533022,1700
2019-04-26,0.540000,0.540000,0.540000,0.540000,0.522571,243600
2019-04-29,0.540000,0.540000,0.540000,0.540000,0.522571,2500
2019-04-30,0.536100,0.537000,0.536100,0.537000,0.519668,5800
