Date,Open,High,Low,Close,Adj Close,Volume
2012-09-25,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-09-26,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-09-27,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-09-28,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-01,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-02,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-03,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-04,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-05,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-08,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-09,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-10,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-11,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-12,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-15,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-16,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-17,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-18,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-19,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-22,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-23,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-24,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-25,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-26,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-10-31,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-11-01,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-11-02,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-11-05,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-11-06,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
2012-11-07,0.437500,0.437500,0.437500,0.437500,14552333312.000000,0
